적금,만기일자,기본금리,우대금리
KB국민프리미엄적금(정액),12,2.5,3.4
KB국민프리미엄적금(정액),24,2.7,3.7
KB국민프리미엄적금(정액),36,2.8,4
KB내맘대로적금,6,2.3,2.9
KB내맘대로적금,12,2.55,3.15
KB내맘대로적금,24,2.75,3.35
KB내맘대로적금,36,2.95,3.55
KB맑은하늘적금,12,2.45,3.25
KB맑은하늘적금,24,2.55,3.45
KB맑은하늘적금,36,2.85,3.85
KB특★한적금,1,2,6
KB특★한적금,3,2,6
KB특★한적금,6,2,6
